shape, chamfer_dist
ShapeNetV2/04256520/cc644fad0b76a441d84c7dc40ac6d743, 0.0015965594846003351
ShapeNetV2/04256520/cca6e720741a6d00f51f77a6d7299806, 0.00042897283396884137
ShapeNetV2/04256520/ccb08f869edde5e6d8adf1ca87495d41, 0.0001434909972607253
ShapeNetV2/04256520/ccd0c5e06744ad9a5ca7e476d2d4a26e, 0.00205120169414529
ShapeNetV2/04256520/cceaeed0d8cf5bdbca68d7e2f215cb19, 0.001343928779579322
ShapeNetV2/04256520/cd1086902b5eb749f51f77a6d7299806, 0.0013027679015029934
ShapeNetV2/04256520/cd10e95d1501ed6719fb4103277a6b93, 0.0005648281283489777
ShapeNetV2/04256520/cd249bd432c4bc75b82cf928f6ed5338, 0.0009576137273285968
ShapeNetV2/04256520/cd2a6bf7effd529de96ac0c4e1fb9b1a, 0.0004925663529665839
ShapeNetV2/04256520/cd47287d6da7492e64810cc21086da42, 0.00080944038321359
ShapeNetV2/04256520/cd74a153b605c6a3cabc196a7f35f1aa, 0.0012824051029279148
ShapeNetV2/04256520/cd9ef0c92376e604963cdf8b01c64c16, 0.0006162292116039765
ShapeNetV2/04256520/cde1943d3681d3dc4194871f9a6dae1d, 0.0018166074840764235
ShapeNetV2/04256520/ce424dd12ccad62575206c207a147264, 0.001962751665999644
ShapeNetV2/04256520/ce99ea72f222e7d58bf939d21e50c410, 0.0023205024492332373
ShapeNetV2/04256520/ceb04c53d8aae1319fb4103277a6b93, 0.001412167136834425
ShapeNetV2/04256520/cef25c3f7412814b4b3c42e318f3affc, 0.0012507030424848329
ShapeNetV2/04256520/cf027d5b0debe18321bdbc0445d9f748, 0.0008564157485471799
ShapeNetV2/04256520/cf47942a67cae94eab49dceef0d15b99, 0.001381859473650021
ShapeNetV2/04256520/cf571875efbd60fd3d2617f9171b5ccb, 0.0006370641577081136
ShapeNetV2/04256520/cf651c9562d9267032a526e2e9a7e9ae, 0.0010495463833528971
ShapeNetV2/04256520/cf651d12e2048e1a4b3c42e318f3affc, 0.0006523778641124944
ShapeNetV2/04256520/cf81e26374530f8fc08abcaf67cf0417, 0.0007141496187598553
ShapeNetV2/04256520/cfa5feb7486f88ee1b8fe07f15de05f7, 0.0010142934247440805
ShapeNetV2/04256520/cff485b2c98410135dda488a4bbb1e1, 0.0011409461917135898
ShapeNetV2/04256520/d04a6f268f16bae7d472d3bb6a889c20, 0.0008001956074613135
ShapeNetV2/04256520/d053e745b565fa391c1b3b2ed8d13bf8, 0.0014805515999589528
ShapeNetV2/04256520/d08fc6f10d07dfd8c05575120a46cd3b, 0.0011088599944187262
ShapeNetV2/04256520/d09b21e5a16c2a0ea29038f04db9492a, 0.000920221925171033
ShapeNetV2/04256520/d0b06478f56a1306e8f8c11a24c52ebb, 0.0016216269334480046
ShapeNetV2/04256520/d0b33818a29689a8ab5d9b3550c46460, 0.0004898462579266667
ShapeNetV2/04256520/d0bdb5de2ae0de1adfa4ff010b8b9d1c, 0.0015920762813832977
ShapeNetV2/04256520/d0ce2d65a1f3f7f0942fb082e747f0bc, 0.0011472455091449338
ShapeNetV2/04256520/d0e419a11fd8f4bce589b08489d157d, 0.0016860694260174016
ShapeNetV2/04256520/d0fcb2993379cf9ed72ff9ec64cb596d, 0.0020319255939388243
ShapeNetV2/04256520/d116e9440f64d7a0e7791a1581855f1e, 0.0008705160024329499
ShapeNetV2/04256520/d15ccf2af52a95f619fb4103277a6b93, 0.0027314342440560523
ShapeNetV2/04256520/d1738a15fe737103917b96045c9b6dea, 0.0004651856360426629
ShapeNetV2/04256520/d1784efbc243913940ef1c8b63a628f9, 0.000938930760388295
ShapeNetV2/04256520/d2018df95fe894c388acc944857403a5, 0.0038307056823169683
ShapeNetV2/04256520/d20c3649494f2aac14bac2ebb8f636e5, 0.0003197223877962577
ShapeNetV2/04256520/d21b63623023b40a593ebeeedbff73b, 0.0023854525277725246
ShapeNetV2/04256520/d255253a4af43b4d4cb1d8db6be39c65, 0.0007501458100895147
ShapeNetV2/04256520/d2711d46aac0b5ed492a9f7c65daa58d, 0.000889061557549015
ShapeNetV2/04256520/d2964213849329b494887ea54f3cfb87, 0.0010333459504527308
ShapeNetV2/04256520/d2a4faf6613ea1e66db434563c7f5ea3, 0.0005479520772874601
ShapeNetV2/04256520/d321d0c149d7762acc8bd7a04c9659f1, 0.001257646190572415
ShapeNetV2/04256520/d377dbbf7b198ad474fedb3ee91ea4c1, 0.00036023150676236734
ShapeNetV2/04256520/d3a550ef8b98f55b21cfc6e95839d798, 0.001115343955963786
ShapeNetV2/04256520/d3a8b906f6909b0252899f0b4e8d8ae4, 0.0008300535664552396
ShapeNetV2/04256520/d3c677deb7e829f05728afe1a12978b, 0.0006599617828783788
ShapeNetV2/04256520/d3cc9f995b1f2b2dffcd08faf4fccd0f, 0.00030729181181801766
ShapeNetV2/04256520/d4704c12862c808b593ebeeedbff73b, 0.00101369984394769
ShapeNetV2/04256520/d4a80e7a92e2c4f98981b7cb87854e68, 0.0016547716646394255
ShapeNetV2/04256520/d4c6f2749bd85e9a6a9633583f89b17f, 0.001362724840711262
ShapeNetV2/04256520/d4dddfd40635a72f1cda25fa42fa5ece, 0.0011391461270215957
ShapeNetV2/04256520/d52584133659bcb24b3c42e318f3affc, 0.0011233473214867047
ShapeNetV2/04256520/d53620b3769bcbd664518692a46d31bd, 0.0007419404391950739
ShapeNetV2/04256520/d5424df6acaee9762d19175e7d19b7cb, 0.0017982818049988912
ShapeNetV2/04256520/d546b9afa6d0a22fcabc196a7f35f1aa, 0.001299012278999763
ShapeNetV2/04256520/d55d14f87d65faa84ccf9d6d546b307f, 0.0026783063025136123
ShapeNetV2/04256520/d562328792a3314519fb4103277a6b93, 0.0001407924588030859
ShapeNetV2/04256520/d58a2c86b9b71f6bef4e42d70375aed8, 0.0017233925355174522
ShapeNetV2/04256520/d5931526b56b157cab610b0c94236463, 0.0005580405933113256
ShapeNetV2/04256520/d5a11602655790bcdf6cfab91d65bb91, 0.0011367324291837741
ShapeNetV2/04256520/d5a7ef075ff5e17a29f849a67b494905, 0.00015904468178099844
ShapeNetV2/04256520/d5aefefca08da17819fb4103277a6b93, 0.0008940696607992756
